steps,energy,magnetization,beta,hot,model
0,292.0,-42,0.0,True,mod_0.0_True
1,292.0,42,0.0,True,mod_0.0_True
2,292.0,-42,0.0,True,mod_0.0_True
3,292.0,42,0.0,True,mod_0.0_True
4,292.0,-42,0.0,True,mod_0.0_True
5,292.0,42,0.0,True,mod_0.0_True
6,292.0,-42,0.0,True,mod_0.0_True
7,292.0,42,0.0,True,mod_0.0_True
8,292.0,-42,0.0,True,mod_0.0_True
9,292.0,42,0.0,True,mod_0.0_True
10,292.0,-42,0.0,True,mod_0.0_True
11,292.0,42,0.0,True,mod_0.0_True
12,292.0,-42,0.0,True,mod_0.0_True
13,292.0,42,0.0,True,mod_0.0_True
14,292.0,-42,0.0,True,mod_0.0_True
15,292.0,42,0.0,True,mod_0.0_True
16,292.0,-42,0.0,True,mod_0.0_True
17,292.0,42,0.0,True,mod_0.0_True
18,292.0,-42,0.0,True,mod_0.0_True
19,292.0,42,0.0,True,mod_0.0_True
20,292.0,-42,0.0,True,mod_0.0_True
21,292.0,42,0.0,True,mod_0.0_True
22,292.0,-42,0.0,True,mod_0.0_True
23,292.0,42,0.0,True,mod_0.0_True
24,292.0,-42,0.0,True,mod_0.0_True
25,292.0,42,0.0,True,mod_0.0_True
26,292.0,-42,0.0,True,mod_0.0_True
27,292.0,42,0.0,True,mod_0.0_True
28,292.0,-42,0.0,True,mod_0.0_True
29,292.0,42,0.0,True,mod_0.0_True
30,292.0,-42,0.0,True,mod_0.0_True
31,292.0,42,0.0,True,mod_0.0_True
32,292.0,-42,0.0,True,mod_0.0_True
33,292.0,42,0.0,True,mod_0.0_True
34,292.0,-42,0.0,True,mod_0.0_True
35,292.0,42,0.0,True,mod_0.0_True
36,292.0,-42,0.0,True,mod_0.0_True
37,292.0,42,0.0,True,mod_0.0_True
38,292.0,-42,0.0,True,mod_0.0_True
39,292.0,42,0.0,True,mod_0.0_True
40,292.0,-42,0.0,True,mod_0.0_True
41,292.0,42,0.0,True,mod_0.0_True
42,292.0,-42,0.0,True,mod_0.0_True
43,292.0,42,0.0,True,mod_0.0_True
44,292.0,-42,0.0,True,mod_0.0_True
45,292.0,42,0.0,True,mod_0.0_True
46,292.0,-42,0.0,True,mod_0.0_True
47,292.0,42,0.0,True,mod_0.0_True
48,292.0,-42,0.0,True,mod_0.0_True
49,292.0,42,0.0,True,mod_0.0_True
50,292.0,-42,0.0,True,mod_0.0_True
